idx,total,fname,family,gate_set,opt,qbits,strategy,noise,comm_multiplier,primitive,parts,orig_line
17,26240,graphstate_nativegates_ibm_opt0_4q,graphstate,nativegates_ibm_opt0,opt0,4,global,0.02,1.0,cat,2,"Experiment 17/26240: graphstate_nativegates_ibm_opt0_4q (4q), global, noise=0.02, comm=1.0x, cat, parts=2"
18,26240,graphstate_nativegates_ibm_opt0_4q,graphstate,nativegates_ibm_opt0,opt0,4,global,0.02,1.0,cat,4,"Experiment 18/26240: graphstate_nativegates_ibm_opt0_4q (4q), global, noise=0.02, comm=1.0x, cat, parts=4"
19,26240,graphstate_nativegates_ibm_opt0_4q,graphstate,nativegates_ibm_opt0,opt0,4,global,0.02,1.0,teleportation,2,"Experiment 19/26240: graphstate_nativegates_ibm_opt0_4q (4q), global, noise=0.02, comm=1.0x, teleportation, parts=2"
20,26240,graphstate_nativegates_ibm_opt0_4q,graphstate,nativegates_ibm_opt0,opt0,4,global,0.02,1.0,teleportation,4,"Experiment 20/26240: graphstate_nativegates_ibm_opt0_4q (4q), global, noise=0.02, comm=1.0x, teleportation, parts=4"
21,26240,graphstate_nativegates_ibm_opt0_4q,graphstate,nativegates_ibm_opt0,opt0,4,global,0.02,1.05,cat,2,"Experiment 21/26240: graphstate_nativegates_ibm_opt0_4q (4q), global, noise=0.02, comm=1.05x, cat, parts=2"
22,26240,graphstate_nativegates_ibm_opt0_4q,graphstate,nativegates_ibm_opt0,opt0,4,global,0.02,1.05,cat,4,"Experiment 22/26240: graphstate_nativegates_ibm_opt0_4q (4q), global, noise=0.02, comm=1.05x, cat, parts=4"
23,26240,graphstate_nativegates_ibm_opt0_4q,graphstate,nativegates_ibm_opt0,opt0,4,global,0.02,1.05,teleportation,2,"Experiment 23/26240: graphstate_nativegates_ibm_opt0_4q (4q), global, noise=0.02, comm=1.05x, teleportation, parts=2"
24,26240,graphstate_nativegates_ibm_opt0_4q,graphstate,nativegates_ibm_opt0,opt0,4,global,0.02,1.05,teleportation,4,"Experiment 24/26240: graphstate_nativegates_ibm_opt0_4q (4q), global, noise=0.02, comm=1.05x, teleportation, parts=4"
25,26240,graphstate_nativegates_ibm_opt0_4q,graphstate,nativegates_ibm_opt0,opt0,4,global,0.02,1.1,cat,2,"Experiment 25/26240: graphstate_nativegates_ibm_opt0_4q (4q), global, noise=0.02, comm=1.1x, cat, parts=2"
26,26240,graphstate_nativegates_ibm_opt0_4q,graphstate,nativegates_ibm_opt0,opt0,4,global,0.02,1.1,cat,4,"Experiment 26/26240: graphstate_nativegates_ibm_opt0_4q (4q), global, noise=0.02, comm=1.1x, cat, parts=4"
27,26240,graphstate_nativegates_ibm_opt0_4q,graphstate,nativegates_ibm_opt0,opt0,4,global,0.02,1.1,teleportation,2,"Experiment 27/26240: graphstate_nativegates_ibm_opt0_4q (4q), global, noise=0.02, comm=1.1x, teleportation, parts=2"
28,26240,graphstate_nativegates_ibm_opt0_4q,graphstate,nativegates_ibm_opt0,opt0,4,global,0.02,1.1,teleportation,4,"Experiment 28/26240: graphstate_nativegates_ibm_opt0_4q (4q), global, noise=0.02, comm=1.1x, teleportation, parts=4"
29,26240,graphstate_nativegates_ibm_opt0_4q,graphstate,nativegates_ibm_opt0,opt0,4,global,0.02,1.2,cat,2,"Experiment 29/26240: graphstate_nativegates_ibm_opt0_4q (4q), global, noise=0.02, comm=1.2x, cat, parts=2"
30,26240,graphstate_nativegates_ibm_opt0_4q,graphstate,nativegates_ibm_opt0,opt0,4,global,0.02,1.2,cat,4,"Experiment 30/26240: graphstate_nativegates_ibm_opt0_4q (4q), global, noise=0.02, comm=1.2x, cat, parts=4"
31,26240,graphstate_nativegates_ibm_opt0_4q,graphstate,nativegates_ibm_opt0,opt0,4,global,0.02,1.2,teleportation,2,"Experiment 31/26240: graphstate_nativegates_ibm_opt0_4q (4q), global, noise=0.02, comm=1.2x, teleportation, parts=2"
32,26240,graphstate_nativegates_ibm_opt0_4q,graphstate,nativegates_ibm_opt0,opt0,4,global,0.02,1.2,teleportation,4,"Experiment 32/26240: graphstate_nativegates_ibm_opt0_4q (4q), global, noise=0.02, comm=1.2x, teleportation, parts=4"
33,26240,graphstate_nativegates_ibm_opt0_4q,graphstate,nativegates_ibm_opt0,opt0,4,local,0.01,1.0,cat,2,"Experiment 33/26240: graphstate_nativegates_ibm_opt0_4q (4q), local, noise=0.01, comm=1.0x, cat, parts=2"
34,26240,graphstate_nativegates_ibm_opt0_4q,graphstate,nativegates_ibm_opt0,opt0,4,local,0.01,1.0,cat,4,"Experiment 34/26240: graphstate_nativegates_ibm_opt0_4q (4q), local, noise=0.01, comm=1.0x, cat, parts=4"
35,26240,graphstate_nativegates_ibm_opt0_4q,graphstate,nativegates_ibm_opt0,opt0,4,local,0.01,1.0,teleportation,2,"Experiment 35/26240: graphstate_nativegates_ibm_opt0_4q (4q), local, noise=0.01, comm=1.0x, teleportation, parts=2"
36,26240,graphstate_nativegates_ibm_opt0_4q,graphstate,nativegates_ibm_opt0,opt0,4,local,0.01,1.0,teleportation,4,"Experiment 36/26240: graphstate_nativegates_ibm_opt0_4q (4q), local, noise=0.01, comm=1.0x, teleportation, parts=4"
37,26240,graphstate_nativegates_ibm_opt0_4q,graphstate,nativegates_ibm_opt0,opt0,4,local,0.01,1.05,cat,2,"Experiment 37/26240: graphstate_nativegates_ibm_opt0_4q (4q), local, noise=0.01, comm=1.05x, cat, parts=2"
38,26240,graphstate_nativegates_ibm_opt0_4q,graphstate,nativegates_ibm_opt0,opt0,4,local,0.01,1.05,cat,4,"Experiment 38/26240: graphstate_nativegates_ibm_opt0_4q (4q), local, noise=0.01, comm=1.05x, cat, parts=4"
39,26240,graphstate_nativegates_ibm_opt0_4q,graphstate,nativegates_ibm_opt0,opt0,4,local,0.01,1.05,teleportation,2,"Experiment 39/26240: graphstate_nativegates_ibm_opt0_4q (4q), local, noise=0.01, comm=1.05x, teleportation, parts=2"
40,26240,graphstate_nativegates_ibm_opt0_4q,graphstate,nativegates_ibm_opt0,opt0,4,local,0.01,1.05,teleportation,4,"Experiment 40/26240: graphstate_nativegates_ibm_opt0_4q (4q), local, noise=0.01, comm=1.05x, teleportation, parts=4"
41,26240,graphstate_nativegates_ibm_opt0_4q,graphstate,nativegates_ibm_opt0,opt0,4,local,0.01,1.1,cat,2,"Experiment 41/26240: graphstate_nativegates_ibm_opt0_4q (4q), local, noise=0.01, comm=1.1x, cat, parts=2"
42,26240,graphstate_nativegates_ibm_opt0_4q,graphstate,nativegates_ibm_opt0,opt0,4,local,0.01,1.1,cat,4,"Experiment 42/26240: graphstate_nativegates_ibm_opt0_4q (4q), local, noise=0.01, comm=1.1x, cat, parts=4"
43,26240,graphstate_nativegates_ibm_opt0_4q,graphstate,nativegates_ibm_opt0,opt0,4,local,0.01,1.1,teleportation,2,"Experiment 43/26240: graphstate_nativegates_ibm_opt0_4q (4q), local, noise=0.01, comm=1.1x, teleportation, parts=2"
44,26240,graphstate_nativegates_ibm_opt0_4q,graphstate,nativegates_ibm_opt0,opt0,4,local,0.01,1.1,teleportation,4,"Experiment 44/26240: graphstate_nativegates_ibm_opt0_4q (4q), local, noise=0.01, comm=1.1x, teleportation, parts=4"
45,26240,graphstate_nativegates_ibm_opt0_4q,graphstate,nativegates_ibm_opt0,opt0,4,local,0.01,1.2,cat,2,"Experiment 45/26240: graphstate_nativegates_ibm_opt0_4q (4q), local, noise=0.01, comm=1.2x, cat, parts=2"
46,26240,graphstate_nativegates_ibm_opt0_4q,graphstate,nativegates_ibm_opt0,opt0,4,local,0.01,1.2,cat,4,"Experiment 46/26240: graphstate_nativegates_ibm_opt0_4q (4q), local, noise=0.01, comm=1.2x, cat, parts=4"
47,26240,graphstate_nativegates_ibm_opt0_4q,graphstate,nativegates_ibm_opt0,opt0,4,local,0.01,1.2,teleportation,2,"Experiment 47/26240: graphstate_nativegates_ibm_opt0_4q (4q), local, noise=0.01, comm=1.2x, teleportation, parts=2"
48,26240,graphstate_nativegates_ibm_opt0_4q,graphstate,nativegates_ibm_opt0,opt0,4,local,0.01,1.2,teleportation,4,"Experiment 48/26240: graphstate_nativegates_ibm_opt0_4q (4q), local, noise=0.01, comm=1.2x, teleportation, parts=4"
49,26240,graphstate_nativegates_ibm_opt0_4q,graphstate,nativegates_ibm_opt0,opt0,4,local,0.02,1.0,cat,2,"Experiment 49/26240: graphstate_nativegates_ibm_opt0_4q (4q), local, noise=0.02, comm=1.0x, cat, parts=2"
50,26240,graphstate_nativegates_ibm_opt0_4q,graphstate,nativegates_ibm_opt0,opt0,4,local,0.02,1.0,cat,4,"Experiment 50/26240: graphstate_nativegates_ibm_opt0_4q (4q), local, noise=0.02, comm=1.0x, cat, parts=4"
51,26240,graphstate_nativegates_ibm_opt0_4q,graphstate,nativegates_ibm_opt0,opt0,4,local,0.02,1.0,teleportation,2,"Experiment 51/26240: graphstate_nativegates_ibm_opt0_4q (4q), local, noise=0.02, comm=1.0x, teleportation, parts=2"
52,26240,graphstate_nativegates_ibm_opt0_4q,graphstate,nativegates_ibm_opt0,opt0,4,local,0.02,1.0,teleportation,4,"Experiment 52/26240: graphstate_nativegates_ibm_opt0_4q (4q), local, noise=0.02, comm=1.0x, teleportation, parts=4"
53,26240,graphstate_nativegates_ibm_opt0_4q,graphstate,nativegates_ibm_opt0,opt0,4,local,0.02,1.05,cat,2,"Experiment 53/26240: graphstate_nativegates_ibm_opt0_4q (4q), local, noise=0.02, comm=1.05x, cat, parts=2"
54,26240,graphstate_nativegates_ibm_opt0_4q,graphstate,nativegates_ibm_opt0,opt0,4,local,0.02,1.05,cat,4,"Experiment 54/26240: graphstate_nativegates_ibm_opt0_4q (4q), local, noise=0.02, comm=1.05x, cat, parts=4"
55,26240,graphstate_nativegates_ibm_opt0_4q,graphstate,nativegates_ibm_opt0,opt0,4,local,0.02,1.05,teleportation,2,"Experiment 55/26240: graphstate_nativegates_ibm_opt0_4q (4q), local, noise=0.02, comm=1.05x, teleportation, parts=2"
56,26240,graphstate_nativegates_ibm_opt0_4q,graphstate,nativegates_ibm_opt0,opt0,4,local,0.02,1.05,teleportation,4,"Experiment 56/26240: graphstate_nativegates_ibm_opt0_4q (4q), local, noise=0.02, comm=1.05x, teleportation, parts=4"
57,26240,graphstate_nativegates_ibm_opt0_4q,graphstate,nativegates_ibm_opt0,opt0,4,local,0.02,1.1,cat,2,"Experiment 57/26240: graphstate_nativegates_ibm_opt0_4q (4q), local, noise=0.02, comm=1.1x, cat, parts=2"
58,26240,graphstate_nativegates_ibm_opt0_4q,graphstate,nativegates_ibm_opt0,opt0,4,local,0.02,1.1,cat,4,"Experiment 58/26240: graphstate_nativegates_ibm_opt0_4q (4q), local, noise=0.02, comm=1.1x, cat, parts=4"
59,26240,graphstate_nativegates_ibm_opt0_4q,graphstate,nativegates_ibm_opt0,opt0,4,local,0.02,1.1,teleportation,2,"Experiment 59/26240: graphstate_nativegates_ibm_opt0_4q (4q), local, noise=0.02, comm=1.1x, teleportation, parts=2"
60,26240,graphstate_nativegates_ibm_opt0_4q,graphstate,nativegates_ibm_opt0,opt0,4,local,0.02,1.1,teleportation,4,"Experiment 60/26240: graphstate_nativegates_ibm_opt0_4q (4q), local, noise=0.02, comm=1.1x, teleportation, parts=4"
61,26240,graphstate_nativegates_ibm_opt0_4q,graphstate,nativegates_ibm_opt0,opt0,4,local,0.02,1.2,cat,2,"Experiment 61/26240: graphstate_nativegates_ibm_opt0_4q (4q), local, noise=0.02, comm=1.2x, cat, parts=2"
62,26240,graphstate_nativegates_ibm_opt0_4q,graphstate,nativegates_ibm_opt0,opt0,4,local,0.02,1.2,cat,4,"Experiment 62/26240: graphstate_nativegates_ibm_opt0_4q (4q), local, noise=0.02, comm=1.2x, cat, parts=4"
63,26240,graphstate_nativegates_ibm_opt0_4q,graphstate,nativegates_ibm_opt0,opt0,4,local,0.02,1.2,teleportation,2,"Experiment 63/26240: graphstate_nativegates_ibm_opt0_4q (4q), local, noise=0.02, comm=1.2x, teleportation, parts=2"
64,26240,graphstate_nativegates_ibm_opt0_4q,graphstate,nativegates_ibm_opt0,opt0,4,local,0.02,1.2,teleportation,4,"Experiment 64/26240: graphstate_nativegates_ibm_opt0_4q (4q), local, noise=0.02, comm=1.2x, teleportation, parts=4"
65,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,global,0.01,1.0,cat,2,"Experiment 65/26240: graphstate_nativegates_ibm_opt0_112q (112q), global, noise=0.01, comm=1.0x, cat, parts=2"
66,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,global,0.01,1.0,cat,4,"Experiment 66/26240: graphstate_nativegates_ibm_opt0_112q (112q), global, noise=0.01, comm=1.0x, cat, parts=4"
67,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,global,0.01,1.0,cat,6,"Experiment 67/26240: graphstate_nativegates_ibm_opt0_112q (112q), global, noise=0.01, comm=1.0x, cat, parts=6"
68,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,global,0.01,1.0,cat,8,"Experiment 68/26240: graphstate_nativegates_ibm_opt0_112q (112q), global, noise=0.01, comm=1.0x, cat, parts=8"
69,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,global,0.01,1.0,cat,10,"Experiment 69/26240: graphstate_nativegates_ibm_opt0_112q (112q), global, noise=0.01, comm=1.0x, cat, parts=10"
70,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,global,0.01,1.0,teleportation,2,"Experiment 70/26240: graphstate_nativegates_ibm_opt0_112q (112q), global, noise=0.01, comm=1.0x, teleportation, parts=2"
71,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,global,0.01,1.0,teleportation,4,"Experiment 71/26240: graphstate_nativegates_ibm_opt0_112q (112q), global, noise=0.01, comm=1.0x, teleportation, parts=4"
72,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,global,0.01,1.0,teleportation,6,"Experiment 72/26240: graphstate_nativegates_ibm_opt0_112q (112q), global, noise=0.01, comm=1.0x, teleportation, parts=6"
73,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,global,0.01,1.0,teleportation,8,"Experiment 73/26240: graphstate_nativegates_ibm_opt0_112q (112q), global, noise=0.01, comm=1.0x, teleportation, parts=8"
74,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,global,0.01,1.0,teleportation,10,"Experiment 74/26240: graphstate_nativegates_ibm_opt0_112q (112q), global, noise=0.01, comm=1.0x, teleportation, parts=10"
75,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,global,0.01,1.05,cat,2,"Experiment 75/26240: graphstate_nativegates_ibm_opt0_112q (112q), global, noise=0.01, comm=1.05x, cat, parts=2"
76,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,global,0.01,1.05,cat,4,"Experiment 76/26240: graphstate_nativegates_ibm_opt0_112q (112q), global, noise=0.01, comm=1.05x, cat, parts=4"
77,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,global,0.01,1.05,cat,6,"Experiment 77/26240: graphstate_nativegates_ibm_opt0_112q (112q), global, noise=0.01, comm=1.05x, cat, parts=6"
78,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,global,0.01,1.05,cat,8,"Experiment 78/26240: graphstate_nativegates_ibm_opt0_112q (112q), global, noise=0.01, comm=1.05x, cat, parts=8"
79,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,global,0.01,1.05,cat,10,"Experiment 79/26240: graphstate_nativegates_ibm_opt0_112q (112q), global, noise=0.01, comm=1.05x, cat, parts=10"
80,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,global,0.01,1.05,teleportation,2,"Experiment 80/26240: graphstate_nativegates_ibm_opt0_112q (112q), global, noise=0.01, comm=1.05x, teleportation, parts=2"
81,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,global,0.01,1.05,teleportation,4,"Experiment 81/26240: graphstate_nativegates_ibm_opt0_112q (112q), global, noise=0.01, comm=1.05x, teleportation, parts=4"
82,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,global,0.01,1.05,teleportation,6,"Experiment 82/26240: graphstate_nativegates_ibm_opt0_112q (112q), global, noise=0.01, comm=1.05x, teleportation, parts=6"
83,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,global,0.01,1.05,teleportation,8,"Experiment 83/26240: graphstate_nativegates_ibm_opt0_112q (112q), global, noise=0.01, comm=1.05x, teleportation, parts=8"
84,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,global,0.01,1.05,teleportation,10,"Experiment 84/26240: graphstate_nativegates_ibm_opt0_112q (112q), global, noise=0.01, comm=1.05x, teleportation, parts=10"
85,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,global,0.01,1.1,cat,2,"Experiment 85/26240: graphstate_nativegates_ibm_opt0_112q (112q), global, noise=0.01, comm=1.1x, cat, parts=2"
86,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,global,0.01,1.1,cat,4,"Experiment 86/26240: graphstate_nativegates_ibm_opt0_112q (112q), global, noise=0.01, comm=1.1x, cat, parts=4"
87,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,global,0.01,1.1,cat,6,"Experiment 87/26240: graphstate_nativegates_ibm_opt0_112q (112q), global, noise=0.01, comm=1.1x, cat, parts=6"
88,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,global,0.01,1.1,cat,8,"Experiment 88/26240: graphstate_nativegates_ibm_opt0_112q (112q), global, noise=0.01, comm=1.1x, cat, parts=8"
89,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,global,0.01,1.1,cat,10,"Experiment 89/26240: graphstate_nativegates_ibm_opt0_112q (112q), global, noise=0.01, comm=1.1x, cat, parts=10"
90,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,global,0.01,1.1,teleportation,2,"Experiment 90/26240: graphstate_nativegates_ibm_opt0_112q (112q), global, noise=0.01, comm=1.1x, teleportation, parts=2"
91,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,global,0.01,1.1,teleportation,4,"Experiment 91/26240: graphstate_nativegates_ibm_opt0_112q (112q), global, noise=0.01, comm=1.1x, teleportation, parts=4"
92,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,global,0.01,1.1,teleportation,6,"Experiment 92/26240: graphstate_nativegates_ibm_opt0_112q (112q), global, noise=0.01, comm=1.1x, teleportation, parts=6"
93,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,global,0.01,1.1,teleportation,8,"Experiment 93/26240: graphstate_nativegates_ibm_opt0_112q (112q), global, noise=0.01, comm=1.1x, teleportation, parts=8"
94,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,global,0.01,1.1,teleportation,10,"Experiment 94/26240: graphstate_nativegates_ibm_opt0_112q (112q), global, noise=0.01, comm=1.1x, teleportation, parts=10"
95,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,global,0.01,1.2,cat,2,"Experiment 95/26240: graphstate_nativegates_ibm_opt0_112q (112q), global, noise=0.01, comm=1.2x, cat, parts=2"
96,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,global,0.01,1.2,cat,4,"Experiment 96/26240: graphstate_nativegates_ibm_opt0_112q (112q), global, noise=0.01, comm=1.2x, cat, parts=4"
97,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,global,0.01,1.2,cat,6,"Experiment 97/26240: graphstate_nativegates_ibm_opt0_112q (112q), global, noise=0.01, comm=1.2x, cat, parts=6"
98,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,global,0.01,1.2,cat,8,"Experiment 98/26240: graphstate_nativegates_ibm_opt0_112q (112q), global, noise=0.01, comm=1.2x, cat, parts=8"
99,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,global,0.01,1.2,cat,10,"Experiment 99/26240: graphstate_nativegates_ibm_opt0_112q (112q), global, noise=0.01, comm=1.2x, cat, parts=10"
100,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,global,0.01,1.2,teleportation,2,"Experiment 100/26240: graphstate_nativegates_ibm_opt0_112q (112q), global, noise=0.01, comm=1.2x, teleportation, parts=2"
101,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,global,0.01,1.2,teleportation,4,"Experiment 101/26240: graphstate_nativegates_ibm_opt0_112q (112q), global, noise=0.01, comm=1.2x, teleportation, parts=4"
102,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,global,0.01,1.2,teleportation,6,"Experiment 102/26240: graphstate_nativegates_ibm_opt0_112q (112q), global, noise=0.01, comm=1.2x, teleportation, parts=6"
103,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,global,0.01,1.2,teleportation,8,"Experiment 103/26240: graphstate_nativegates_ibm_opt0_112q (112q), global, noise=0.01, comm=1.2x, teleportation, parts=8"
104,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,global,0.01,1.2,teleportation,10,"Experiment 104/26240: graphstate_nativegates_ibm_opt0_112q (112q), global, noise=0.01, comm=1.2x, teleportation, parts=10"
105,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,global,0.02,1.0,cat,2,"Experiment 105/26240: graphstate_nativegates_ibm_opt0_112q (112q), global, noise=0.02, comm=1.0x, cat, parts=2"
106,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,global,0.02,1.0,cat,4,"Experiment 106/26240: graphstate_nativegates_ibm_opt0_112q (112q), global, noise=0.02, comm=1.0x, cat, parts=4"
107,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,global,0.02,1.0,cat,6,"Experiment 107/26240: graphstate_nativegates_ibm_opt0_112q (112q), global, noise=0.02, comm=1.0x, cat, parts=6"
108,26240,graphstate_nativegates_ibm_opt0_112q,graphstate,nativegates_ibm_opt0,opt0,112,global,0.02,1.0,cat,8,"Experiment 108/26240: graphstate_nativegates_ibm_opt0_112q (112q), global, noise=0.02, comm=1.0x, cat, parts=8"
